 rahogI	 raha
 Cexawe	 Cexa
 uTI - sAWa	 uTA - sAWa
 nikAle - kahAz	 nikAla - kahAz
 ruko	 ruka
 jaleMge	 jala
 camaka - camaka	 camaka - camaka
 ruke	 rukA
 baDZAyI	 baDZA
 kahA - mAlUma	 kahA - mAlUma
 kahA - lAo	 kahA - lA
 bole - agara	 bola - agara
 hEM - vahI	 hE - vahI
 paDZAnA - liKAnA	 paDZA - liKA
 kahA - betA	 kahA - betA
 pUCeM - kisakA	 pUCa - kOna
 pakadZanI	 pakadZa
 WA - munnA	 WA - munnA
 nikAla - nikAlakara	 nikAla - nikAla
 KA - KAkara	 KA - KA
 TokanI	 Toka
 jaraxA - SIramAla	 jaraxA - SIramAla
 bolI - Apa	 bolI - Apa
 samaJAnA - buJAnA	 samaJA - buJA
 bolI - Aja	 bolI - Aja
 nikalo	 nikala
 hE - Cuo	 hE - CU
 bolI - usake	 bolI - usaka
 mAnanevAlA	 mAna
 gayI - usane	 jA - usanA
 xiyA - nahIM	 xiyA - nahIM
 palatanA	 palata
 gaDZI	 gaDZA
 kahA - hamIM	 kahA - mEM
 AyA - kyoM	 AyA - kyoM
 jalawe - jalawe	 jalawA - jalawA
 kahA - kEsI	 kahA - kEsA
 kahA - muJase	 kahA - muJasA
 lagA - sacamuca	 lagA - sacamuca
 be - kAma - XaMXe	 be - kAma - XaMXA
 lOtegA	 lOta
 bolane - cAlane	 bola - cAla
 kahA - kyA	 kahA - kyA
 GabarAye	 GabarAyA
 kahA - isakI	 kahA - yaha
 muzha - xeKI	 muzha - xeKa
 JagadZanA	 JagadZa
 pUCA - kEse	 pUCa - kEse
 pUCA - kEsI	 pUCa - kEsA
 JidZakawe	 JidZaka
 kahA - BAI	 kahA - BAI
 kiyA - mere	 kara - merA
 howA - he	 howA - he
 huA - hA	 ho - hA
 CalakanA	 Calaka
 kahA - BAiyo	 kahA - BAiyo
 We - kiwanA	 WA - kiwanA
 xI - unhIM	 xe - vaha
 socoge	 soca
 kahA - waba	 kahA - waba
 bole - isalie	 bola - isalie
 hE - prema	 hE - prema
 bulAye	 bulA
 padZA - yaha	 padZA - yaha
 XikkArA - kyA	 XikkAra - kyA
 bulAyI	 bulA
 Wiraka	 Wiraka
 marUzgI	 mara
 Kilane	 Kila
 banawe - bigadZawe	 bana - bigadZa
 kahawe - kahawe	 kaha - kaha
 gayA - jI	 jA - jI
 bole - isakI	 bola - yaha
 howI - yahI	 ho - yahI
 buJane	 buJa
 sUraxAsa - aba	 sUraxAsa - aba
 soca - vicArakara	 soca - vicAra
 nahIM - isalie	 nahIM - isalie
 kahawe - aba	 kaha - aba
 bole - Apase	 bola - ApasA
 kahA - isa	 kahA - yaha
 kahA - jagaha	 kahA - jagaha
 bolA - hadZawAla	 bolA - hadZawAla
 sakawe - We	 sakawA - WA
 noca - Kasotakara	 noca - Kasota
 kiyA - isa	 kara - yaha
 liyA - mEM	 le - mEM
 nAle - Bara	 nAlA - Bara
 xiKawA	 xiKa
 lageM - ijjawa	 laga - ijjawa
 pUCA - kOna	 pUCa - kOna
 gayA - jarUra	 jA - jarUra
 muskurAwe	 muskurAwA
 sunUzgI	 suna
 muskurAwI	 muskurAwA
 soPZiyA - muJe	 soPZiyA - mEM
 xie - jamAnA	 xe - jamAnA
 bolA - unhoMne	 bolA - vaha
 GumAne - PirAne	 GumA - PirA
 jagane	 jaga
 BAra - sA	 BAra - sA
 Palawe - Palawe	 Pala - Pala
 Kojawe - Kojawe	 Koja - Koja
 WIM - eka	 WA - eka
 bolI - Apane	 bolI - Apa
 uTe - hAz	 uTA - hAz
 biCalawI	 biCala
 GUmane - GAmane	 GUma - GAmane
 havalaxAra - ho	 havalaxAra - ho
 kahA - sunawe	 kahA - suna
 caliegA	 cala
 kahawA - Ao	 kaha - Ao
 hUM - wU	 hE - wU
 xOdZa - xOdZakara	 xOdZa - xOdZa
 kahA - kaBI - kaBI	 kahA - kaBI - kaBI
 parasa	 parasa
 GUmawe - GUmawe	 GUma - GUma
 samaJawA - mEM	 samaJa - mEM
 nasEhOM	 nasEhOM
 siXArA	 siXAra
 gae - jana - samUha	 jA - jana - samUha
 pahuzcAo	 pahuzcA
 TukarAyA	 TukarAyA
 calAwecalAwe	 calAwecalAwe
 kahA - nikAla	 kahA - nikAla
 kahA - jIvana	 kahA - jIvana
 kiyA - jaba	 kara - jaba
 pahuzcAI	 pahuzcAI
 bacAyA - yaha	 bacA - yaha
 savere - savere	 savere - savere
 begama	 begama
 bole - isIlie	 bola - isIlie
 kahA - mEM	 kahA - mEM
 calanevAle	 cala
 hazsawe - hazsawe	 hazsawA - hazsawA
 WI - usane	 WA - usanA
 pitIM	 pita
 ho - mEM	 ho - mEM
 jala - Bunakara	 jala - Buna
 bolIM - Aja	 bola - Aja
 cala - Pira	 cala - Pira
 kahA - le	 kahA - le
 lagAyA - lekina	 lagAyA - lekina
 jAdZA	 jAdZA
 kahA - lo	 kahA - lo
 pUCA - wumhAre	 pUCa - wU
 bulA - bulAkara	 bulA - bulA
 lagI - saba	 lagA - saba
 bolA - sUre	 bolA - sUre
 bolA - maranA	 bolA - mara
 kahA - Taharo	 kahA - Taharo
 kahA - mEMne	 kahA - mEM
 uTawe - uTawe	 uTa - uTa
 rehananAmA	 rehananAmA
 haMsa - bola	 haMsa - bola
 bilaKawe	 bilaKa
 pasArane	 pasAra
 hAra - jIwa	 hAra - jIwa
 bolA - XoKA	 bolA - XoKA
 kiyA - kaBI	 kara - kaBI
 uTA - vaha	 uTA - vaha
 siKAye	 siKA
 jala - Buna	 jala - Buna
 kahA - wuma	 kahA - wU
 wAkawe - wAkawe	 wAka - wAka
 WA - bAbUjI	 WA - bAbUjI
 xewA - Apa	 xe - Apa
 kahA - Orawa	 kahA - Orawa
 kara - karake	 kara - karakA
 KarI - KarI	 KarA - KarA
 kahA - Pira	 kahA - Pira
 TaTAkara	 TaTA
 pIta - pItakara	 pIta - pIta
 hE - vahI	 hE - vahI
 lene - xene	 le - xe
 Bara - Bara	 Bara - Bara
 hA - hA - hA - hA	 hA - hA - hA - hA
 karake - jo	 karakA - jo
 uTA - bAbUjI	 uTA - bAbUjI
 xewI - yahAM	 xe - yahAM
 beca - becakara	 beca - beca
 WI - aba	 WA - aba
 nikAkara	 nikA
 banAwe - banAwe	 banA - banA
 uTa - uTakara	 uTa - uTa
 kahanA - yaha	 kahanA - yaha
 pAzva - pAzva	 pAzva - pAzva
 soPI - vahI	 soPI - vahI
 biKarane	 biKara
 kahA - betI	 kahA - betI
 kahA - Bara	 kahA - Bara
 kahA - kala	 kahA - kala
 bolA - usa	 bolA - vaha
 hE - puwrI	 hE - puwrI
 PerI	 PerI
 We - mEM	 WA - mEM
 dUbawI - uwarAwI	 dUba - uwarA
 sazvAra	 sazvAra
 paDZAe	 paDZA
 rAwo - rAwa	 rAwa - rAwa
 pUCa - pUCakara	 pUCa - pUCa
 lage - yahIM	 lagA - yahIM
 kahA - KEra	 kahA - KEra
 hE - kuCa	 hE - kuCa
 BOMkakara	 BOMka
 AIM - jarUra	 A - jarUra
 GumadZa	 GumadZa
 xiyA - kisI	 xiyA - koI
 Jukane	 Juka
 WI - hAM	 WA - hAz
 banAne - bigAdZanevAlA	 banA - bigAdZa
 xiKalAwe	 xiKalA
 xiKalAwI	 xiKalA
 JUma - JUmakara	 JUma - JUma
 banAeMge - isalie	 banA - isalie
 meGa - krIdAxeKawe	 meGa - krIdAxeKawe
 We - yaha	 WA - yaha
 badZabadZAne	 badZabadZA
 padZA - padZA	 padZA - padZA
 hE - merI	 hE - merA
 calawe - calawe	 cala - cala
 pUCA - isakI	 pUCa - yaha
 otana	 otana
 rahawe - rahawe	 raha - raha
 kahA - isakA	 kahA - yaha
 kahA - mAmA	 kahA - mAmA
 kahA - mAna	 kahA - mAna
 kahegIM	 kahegIM
 kiyA - uwanA	 kara - uwanA
 pAUzgI	 pA
 PatA - PatA	 PatA - PatA
 kiyA - muJe	 kara - mEM
 bolA - saca	 bolA - saca
 Aye - apanI	 A - apanA
 kahA - mAra	 kahA - mAra
 GUma - GUmakara	 GUma - GUma
 kahA - jaba	 kahA - jaba
 hE - cAhe	 hE - cAhe
 ladaKZadZAwI	 ladaKZadZA
 pUCIM	 pUCa
 kahA - jA	 kahA - jA
 hazsa - hazsakara	 hazsa - hazsa
 kahA - unakA	 kahA - vaha
 pUCA - bETane	 pUCa - bETanA
 GatA - baDZAkara	 GatA - baDZA
 WA - KabaraxAra	 WA - KabaraxAra
 muskurAwA	 muskurAwA
 kahA - wumane	 kahA - wU
 takarAwA	 takarA
 xiKAne - yogya	 xiKA - yogya
 cAtakara	 cAta
 pUCA - vaha	 pUCa - vaha
 hEM - inameM	 hE - yaha
 bolI - jAwe	 bolI - jA
 pirokara	 piro
 uTe - nahIM - nahIM	 uTA - nahIM - nahIM
 udZAkara	 udZA
 Apa - hI - Apa	 Apa - hI - Apa
 bolI - rahane	 bolI - raha
 katA - katA	 katA - katA
 dubawA	 duba
 TTaka - TTatakara	 TTaka - TTatakara
 PAMxakara	 PAMxa
 wAnane	 wAna
 kahA - kAta	 kahA - kAta
 simatI	 simatA
 kahA - wumhIM	 kahA - wU
 samhAlane	 samhAla
 klArka - hAz	 klArka - hAz
 biKaranA	 biKara
 bolA - wo	 bolA - wo
 hoMge - calogI	 ho - cala
 pUCA - rAnIjI	 pUCa - rAnIjI
 GUma - Pira	 GUma - Pira
 lagAyA - mi	 lagAyA - mi
 poCeMgI - Apa	 poCa - Apa
 dUbeM	 dUba
 kahA - nIca	 kahA - nIca
 hUka - sI	 hUka - sI
 cuna - cunakara	 cuna - cuna
 bolI - nahIM	 bolI - nahIM
 hazsAne	 hazsA
 pUCA - Ora	 pUCa - Ora
 hAzPawe	 hAzPa
 baztI	 bazta
 xulArA	 xulArA
 nihArane	 nihAra
 bolI - wumhIM	 bolI - wU
 jowa - bo	 jowa - bo
 kahA - hAz - hAz	 kahA - hAz - hAz
 karawA - kyA	 karawA - kyA
 cAhUzgA	 cAha
 wEre	 wEra
 hogA - jIvana	 ho - jIvana
 lage - jahAz	 lagA - jahAz
 banAI - Aja	 banA - Aja
 kahA - hama	 kahA - mEM
 Bejoge	 Beja
 kahA - calogI	 kahA - cala
 gAwe - gAwe	 gA - gA
 BunaBunA	 BunaBunA
 haMsane - Kelane	 haMsa - Kela
 kahA - dawaN	 kahA - dawaN
 bolI - isakA	 bolI - yaha
 Cipa - Cipa	 Cipa - Cipa
 WI - BAiyo	 WA - BAiyo
 AwIM - jAwIM	 A - jA
 kiyA - jisase	 kara - jo
 bajaraMgI - wo	 bajaraMgI - wo
 lUzgI - Aja	 le - Aja
 sAXa	 sAXa
 BUKe - pyAse	 BUKA - pyAsA
 Tunakawe	 Tunaka
 CudZAyA	 CudZA
 PazsAkara	 PazsA
 lagI - wUne	 lagA - wU
 dolUz	 dola
 muskarAye	 muskarA
 mazgAyA	 mazgA
 mara - paca	 mara - paca
 xeKa - xeKa	 xeKa - xeKa
 socawI - inakI	 soca - yaha
 samhAlawe	 samhAla
 kahA - use	 kahA - vaha
 samhAlawI	 samhAla
 kahA - caraKA	 kahA - caraKA
 kahA - kaBI	 kahA - kaBI
 JitakAra	 JitakAra
 hUz - vaha	 hE - vaha
 hUz - kyA	 hE - kyA
 hogA - hameM	 ho - mEM
 hE - kahAz	 hE - kahAz
 PadZaPadZA	 PadZaPadZA
 beKawA	 beKawA
 biTAe	 biTA
 bulAyegI	 bulA
 bikeM	 bika
 ho - saba	 ho - saba
 hE - kyA	 hE - kyA
 byAhe	 byAhA
 XadZAke	 XadZAkA
 pA	 pA
 jAnawA - muJe	 jAna - mEM
 KA - pahana	 KA - pahana
 takarAwe	 takarA
 wAkeMge	 wAka
 karegA - isameM	 kara - yaha
 milAyI	 milA
 lalakAre	 lalakAra
 roUzgA - nAlAyaka	 ro - nAlAyaka
 pahanegA	 pahana
 uTawA - JUTa	 uTa - JUTa
 lOteM	 lOta
 samaJanage	 samaJanage
 wodZa - wodZakara	 wodZa - wodZa
 JeMpa - sA	 JeMpa - sA
 wapAyA	 wapA
 xuKawA	 xuKa
 karuzgA	 kara
 vEsI - kI - vEsI	 vEsA - kA - vEsA
 bahakI	 bahakA
 BinaBinAwI	 BinaBinA
 jazcanevAle	 jazca
 leke - nikala	 le - nikala
 samaJawI - kyoM	 samaJa - kyoM
 jAgakara	 jAga
 sajAwe	 sajA
 BulAyA	 BulA
 hE - usI	 hE - vaha
 lagA - mEWyUja	 lagA - mEWyUja
 CodZogI	 CodZa
 hE - use	 hE - vaha
 BIgakara	 BIga
 xIKawA - kisake	 xIKawA - kOna
 nahalAyA	 nahalA
 TahareMge - kyA	 Tahara - kyA
 hogA - jaMga	 ho - jaMga
 WI - ve	 WA - vaha
 paracAwe	 paracA
 SAyaxa - ho	 SAyaxa - ho
 hE - hara	 hE - hara
 lapetIM	 lapeta
 DAlA	 DAla
 karawI - ApakI	 kara - Apa
 WAmawe	 WAma
 WA - kisI	 WA - koI
 jowanA	 jowa
 pitA	 pitA
 jalegI	 jala
 pUCawA - Aja	 pUCa - Aja
 howI - vaha	 ho - vaha
 bOrAe	 bOrA
 xIKane	 xIKane
 AyI - agara	 A - agara
 pInA - BIwara	 pI - BIwara
 bigAdZanA	 bigAdZa
 hE - vijFAna	 hE - vijFAna
 mOna	 mOna
 kUxawI	 kUxa
 aniSciwa - sI	 aniSciwa - sI
 guzjAkara	 guzjA
 katAne	 katA
 bulAegA	 bulA
 kahalAez	 kahalA
 KojawA - KojawA	 Koja - Koja
 biKarakara	 biKara
 gAdZanA	 gAdZa
 Cila	 Cila
 xewI - kyA	 xe - kyA
 wumase	 wumasA
 PAdZawA	 PAdZa
 sulaJAwe	 sulaJA
 gayA - usakI	 jA - usaka
 GerawI	 Gera
 azgadZAiyAz	 azgadZAI
 xeve	 xeve
 gayA - na	 jA - na
 jodZa - batorakara	 jodZa - batora
 katakara	 kata
 kurexakara	 kurexa
 sahAre	 sahAre
 budZabakapana	 budZabakapana
 matakA	 matakA
 buJAkara	 buJA
 xeKA - sunA	 xeKA - sunA
 hogA - Ora - wumheM - wo - kaBI	 ho - Ora - wU - wo - kaBI
 samBala	 samBala
 PaPaka	 PaPaka
 dAzta - dapatakara	 dAzta - dapata
 Cipe - Cipe	 CipA - CipA
 sahalAez	 sahalA
 lOta - lOtakara	 lOta - lOta
 xeKa - paDZa	 xeKa - paDZa
 WodZe	 WodZA
 jAiegA - para	 jA - para
 CApawe	 CApa
 paraKakara	 paraKa
 Gulawe	 Gula
 paDZawe - kisI	 paDZa - koI
 sunAiye	 sunA
 We - ke	 WA - kA
 mara - mitane	 mara - mita
 hE - usakI	 hE - usaka
 camakegA	 camaka
 mIcakara	 mIca
 hoiye	 ho
 paDZeM	 paDZa
 GatawA - baDZawA	 Gata - baDZa
 sIKe - siKAye	 sIKA - siKA
 xAgane	 xAga
 girAyeMge	 girA
 WapaWapAne	 WapaWapA
 ladZAoge	 ladZA
 adZAkara	 adZA
 cOMkawA	 cOMka
 vagZEraha	 vagZEraha
 umadZawI	 umadZa
 sajAUzgA	 sajA
 pukAre	 pukAra
 Xo - XAkara	 Xo - XA
 sazBAlawI	 sazBAla
 wuma - calI	 wU - calA
 hUz - apanI	 hE - apanA
 KAie	 KA
 ulatane	 ulata
 hEM - para	 hE - para
 WA - mehamAna - kamarA	 WA - mehamAna - kamarA
 liKo - wo	 liKa - wo
 PUlane	 PUla
 cAhawA - liKanA	 cAha - liKa
 CudZAwA	 CudZA
 paDUzgI	 paDa
 hUz - kuCa	 hE - kuCa
 cUkanA	 cUka
 bAzXege	 bAzXa
 Gutakara	 Guta
 xoharAUzgA	 xoharA
 cUmA - Pira	 cUma - Pira
 PadZaPadZAwI	 PadZaPadZA
 kareMge - Apako	 kara - Apa
 AegI - aba	 A - aba
 basAwe	 basA
 udZAwIM	 udZA
 xiKAye - kEse	 xiKA - kEse
 luBA	 luBA
 ASanAI	 ASanAI
 sunAyeM	 sunA
 wolawA	 wola
 GusawI	 Gusa
 Baviwavya - WA	 Baviwavya - WA
 hE - aBI	 hE - aBI
 BatakA	 BatakA
 agrasaraNa	 agrasaraNa
 karAyI	 karA
 gUzjawI	 gUzja
 hazsawI - KelawI	 hazsawA - Kela
 ubUzgI - Apa	 uba - Apa
 hE - koI	 hE - koI
 CapegI - apane	 Capa - apanA
 banavAyI	 banavA
 upajegA	 upaja
 hilAwI	 hilA
 aCUwI	 aCUwA
 KIcawA	 KIca
 aCUwe	 aCUwA
 pakegA	 paka
 potaliyoM - sI	 potalI - sI
 haraharA	 haraharA
 hE - CodZa	 hE - CodZa
 banAnevAlI	 banA
 karoge - use	 kara - vaha
 kiyA - dAla	 kara - dAla
 haTAw	 haTAw
 pAWegI	 pAWa
 nikaleMgI	 nikala
 nahIM - vEse	 nahIM - vEse
 razganA	 razga
 hE - kEsA	 hE - kEsA
 Jare	 Jara
 GUme	 GUma
 AjamA	 AjamA
 jiegI	 jI
 GUmo	 GUma
 jagAI	 jagA
 bulAUzgA	 bulA
 uTanevAle	 uTa
 Xulakara	 Xula
 sunA - bAMglA	 sunA - bAMglA
 hE - pahale	 hE - pahale
 bigAdZawe	 bigAdZa
 guzWa	 guzWa
 pite	 pitA
 rukawe	 ruka
 hE - gIlI	 hE - gIlA
 dapata	 dapata
 hE - ho	 hE - ho
 hE - hE	 hE - hE
 Aye - kuCa	 A - kuCa
 takarAegA	 takarA
 KilA - pilA	 KilA - pilA
 pahale - sA	 pahale - sA
 howA - nahIM	 howA - nahIM
 hue - hue	 ho - ho
 xeM - yaha	 xe - yaha
 azkI	 azkI
 GisatawA	 Gisata
 pUCogI	 pUCa
 hogA - samBava	 ho - samBava
 XakelawI	 Xakela
 hogI - kisI	 ho - koI
 ijZa	 ijZa
 azgrejZI	 azgrejZI
 prawiBA - mara	 prawiBA - mara
 pUrawI	 pUra
 kahalAyI	 kahalA
 paDUzgA	 paDa
 mita - sI	 mita - sI
 caramarA	 caramarA
 yU	 yU
 cOMkawI	 cOMka
 JUlawe	 JUla
 PodZakara	 PodZa
 caDZawe - uwarawe	 caDZa - uwara
 hUzgI - aba	 ho - aba
 tUta - PUta	 tUta - PUta
 baDZeM	 baDZa
 ABAyuwa - lekina	 ABAyuwa - lekina
 radZaka	 radZaka
 biKare - se	 biKarA - se
 lalacAwI	 lalacA
 camAra	 camAra
 BejUzgA	 Beja
 ho - kyoM	 ho - kyoM
 jalIM	 jala
 lagavAe	 lagavA
 gAwI - vAwI	 gA - vAwI
 lAzGa	 lAzGa
 hEM - uccAraNa	 hE - uccAraNa
 samaJanevAle	 samaJa
 samaJogI - wuma	 samaJa - wU
 Cedar¡	 Cedar
 tUtIM	 tUta
 digAnA	 digA
 gAdZane	 gAdZa
 badZe - badZe	 badZA - badZA
 haharAwe	 haharAwe
 jagAwI	 jagA
 tAzkanA	 tAzka
 hE - majUrI	 hE - majUrI
 UzcA	 UzcA
 howA - wumheM	 howA - wU
 becanI	 beca
 Jakole	 Jakola
 hazsawe - Kelawe	 hazsawA - Kela
 gUzjawA	 gUzja
 calI - saverA	 calA - saverA
 XakelawA	 Xakela
 KAya	 KAya
 biTAne	 biTA
 BejegA	 Beja
 ulatane - pulatane	 ulata - pulatane
 boye	 boyA
 hogA - jo	 ho - jo
 piUzgI	 pI
 bAzXeMge	 bAzXa
 GabarA - sA	 GabarA - sA
 kAzpA	 kAzpa
 kAtawe - kAtawe	 kAta - kAta
 Buna - BunA	 Buna - BunA
 ulaJawe - sulaJawe	 ulaJa - sulaJa
 mana - Bara	 mana - Bara
 Ko - se	 Ko - se
 dolawI	 dola
 ruca	 ruca
 pakara	 pakara
 hE - roSanI	 hE - roSanI
 kyA - usameM	 kyA - vaha
 hue - iwanI	 ho - iwanI
 karUzgA - vahIM	 kara - vahIM
 biKarane - sA	 biKara - sA
 barasAwA	 barasA
 karo - usake	 kara - usaka
 jamawe	 jama
 hUz - mEM	 hE - mEM
 cIhna	 cIhna
 BarrAye	 BarrA
 BarrAyI	 BarrA
 Pata - sI	 Pata - sI
 DUzDZo	 DUzDZa
 xe - xekara	 xe - xe
 hE - SAraxA	 hE - SAraxA
 pakadZe - pakadZe	 pakadZa - pakadZa
 mahAbalipura	 mahAbalipura
 tohane	 toha
 xUz - pagadZI	 xe - pagadZI
 belegA	 bela
 baKZSa	 baKZSa
 bazXe - bazXe	 bazXA - bazXA
 kareMge - usase	 kara - vaha
 liKegI - Ora	 liKa - Ora
 hArawI	 hAra
 karanI - wuma	 karanI - wU
 GUranA	 GUra
 howe - koI	 ho - koI
 xuharAwI	 xuharA
 caramarAne	 caramarA
 hE - basa	 hE - basa
 JAdZawe	 JAdZa
 jAnawe - bUJawe	 jAna - bUJa
 hE - usameM	 hE - vaha
 kahA - kahakara	 kahA - kaha
 paDZAegA	 paDZA
 sunane - samaJane	 suna - samaJa
 xularAwI	 xularA
 PUzkawI	 PUzka
 karanA - XaranA	 kara - XaranA
 dubAye	 dubA
 xeKanA - cAhe	 xeKa - cAhe
 Xula - sI	 Xula - sI
 wapAkara	 wapA
 paWarAe	 paWarA
 pAWUzgI	 pAWa
 litAyA	 litA
 AyA - ve	 AyA - vaha
 ro - pIta - JIMkakara	 ro - pIta - JIMka
 TaharI - xo	 TaharA - xo
 jamAyI	 jamA
 XazsA	 XazsA
 kicakicA	 kicakicA
 pAezgI	 pA
 hazsawI - bolawI	 hazsawA - bola
 socogI	 soca
 bAzXUMgA	 bAzXa
 KadZI - KadZI	 KadZA - KadZA
 gujZAre	 gujZAra
 samaJoge	 samaJa
 sajAez	 sajA
 uKadZA	 uKadZA
 banAnevAlA	 banA
 JarA	 JarA
 alasA	 alasA
 kazpAwA	 kazpA
 DUzDa	 DUzDa
 PodZawA	 PodZa
 We - unake	 WA - vaha
 hE - kyoM	 hE - kyoM
 sikudZakara	 sikudZa
 jiegA	 jI
 We - unakI	 WA - vaha
 JaraJara	 JaraJara
 cara	 cara
 sUKI	 sUKA
 cUra	 cUra
 karawe - Apa	 karawA - Apa
 udZAyI	 udZA
 gaye - isake	 jA - yaha
 warasa - warasa	 warasa - warasa
 PirAwI	 PirA
 hE - usase	 hE - vaha
 udZAye	 udZA
 tikegA	 tika
 legI - Pira	 le - Pira
 jAzcA	 jAzca
 XuzXalA - sA	 XuzXalA - sA
 Daraka	 Daraka
 pakadazrgA	 pakadazrgA
 PEra	 PEra
 barasAwe	 barasA
 BAzpawe	 BAzpa
 Jataka	 Jataka
 alasAyA	 alasAyA
 kahUzgI - badZe - badZe	 kaha - badZA - badZA
 hilA - hilA	 hilA - hilA
 kAzpe	 kAzpa
 ciDZAwI	 ciDZA
 se - mEMne	 se - mEM
 PElAwe	 PElA
 aXaCipa	 aXaCipa
 mimiyAwe	 mimiyA
 howA - kyoMki	 howA - kyoMki
 Jara	 Jara
 ataka - ataka	 ataka - ataka
 hE - xArogA	 hE - xArogA
 WI - kala	 WA - kala
 hE - kaha	 hE - kaha
 milawI - yA	 mila - yA
 guzWI	 guzWa
 hE - ki	 hE - ki
 hE - Buvana	 hE - Buvana
 hama - hEM	 mEM - hE
 xIKanevAlI	 xIKanevAlI
 bulAUzgA - Ane	 bulA - AnA
 gAdZA	 gAdZa
 samaJawI - SAyaxa	 samaJa - SAyaxa
 BulasAe	 BulasA
 hE - hAz	 hE - hAz
 gAUzgI	 gA
 Gisatawe	 Gisata
 xeKA - brAuniMga	 xeKA - brAuniMga
 Kapa	 Kapa
 soKa	 soKa
 karawe - cAhe	 karawA - cAhe
 caramarAyA	 caramarA
 hoM - kahIM	 hE - kahIM
 raKawe - raKawe	 raKa - raKa
 lAezge - Apa	 lA - Apa
 kahUzgA - mEM	 kaha - mEM
 uDZA	 uDZA
 Kala	 Kala
 piGalAkara	 piGalA
 raKe - ye	 raKa - yaha
 rahegA - wo	 raha - wo
 Gutawe	 Guta
 patakawI	 pataka
 nApawA	 nApa
 XaXakakara	 XaXaka
 rahe - usakA	 raha - usakA
 nahIM - yahAz	 nahIM - yahAz
 bigAdZawI	 bigAdZa
 BejegI	 Beja
 Xakelawe	 Xakela
 jAnawI - vaha	 jAna - vaha
 KilaKilAwA	 KilaKilA
 hE - lajjA	 hE - lajjA
 bazXegI	 bazXa
 silavAe	 silavA
 lekina - lekina - yaha	 lekina - lekina - yaha
 lagA - apane	 lagA - apanA
 BidZA	 BidZA
 milana	 milana
 kiye - xo	 kara - xo
 Xarawe	 Xara
 milA - kaba	 milA - kaba
 tAzgawe	 tAzga
 kyoM - yahAz	 kyoM - yahAz
 baKAnawe	 baKAna
 vasUlanA	 vasUla
 mAno - ki	 mAno - ki
 tahalAne	 tahalA
 Pira - cOMka	 Pira - cOMka
 PUtakara	 PUtakara
 CuImuI - sA	 CuImuI - sA
 bulavAne	 bulavA
 sazjokara	 sazjo
 KataKatAkara	 KataKatA
 xeKA - usameM	 xeKA - vaha
 Koye - se	 KoyA - se
 grasawA	 grasa
 paDZiegA	 paDZa
 kazpAwe	 kazpA
 kazpAwI	 kazpA
 bacA - bacA	 bacA - bacA
 nibAhUzgA	 nibAha
 cUmUzgA	 cUma
 Pata - sA	 Pata - sA
 AyA - reKA	 AyA - reKA
 cahakawe	 cahaka
 padar¡	 padar
 WapakawA	 Wapaka
 ugawI	 uga
 umadZa - umadZa	 umadZa - umadZa
 avaSya - hogA	 avaSya - ho
 cikanA	 cikanA
 camakanevAlI	 camaka
 vicaranA	 vicara
 nikalanevAlA	 nikala
 pakawI	 paka
 KoxA	 KoxA
 mAzgeMge	 mAzga
 XakelawA - KIMcawA	 Xakela - KIMca
 ToMkA	 ToMkA
 hUzgA	 ho
 uXAdZa	 uXAdZa
 hUz - wumase	 hE - wumasA
 pahuzcAwA	 pahuzcA
 WI - bacce - kacce	 WA - baccA - kaccA
 howA - PZoto	 howA - PZoto
 lIjie - Ajakala	 le - Ajakala
 marogI	 mara
 paDZAezge	 paDZA
 aKarI	 aKara
 bacoge	 baca
 barasAwI - CAwA	 barasAwI - CAwA
 bazXawA	 bazXa
 PusaPusAwe	 PusaPusA
 hareka	 hareka
 bate	 batA
 pUCUzgI - kahA	 pUCa - kahA
 wamawamAye	 wamawamA
 vahIM - kA - vahIM	 vahIM - kA - vahIM
 basAegA	 basA
 saheja - sahejakara	 saheja - saheja
 rahawe - waba	 raha - waba
 wilamilAwA	 wilamilA
 kahAz - kahAz	 kahAz - kahAz
 JAzkawA	 JAzka
 pahanAezge	 pahanA
 liKUzgA	 liKa
 JarawI	 Jara
 ladZakA - jisase	 ladZakA - jo
 daranA - na	 dara - na
 nikAlI - vahI	 nikAla - vahI
 WA - unake	 WA - vaha
 barawA	 barawA
 Xazse	 XazsA
 howIM - ceharA	 ho - ceharA
 kiyA - acCA	 kara - acCA
 uDZAkara	 uDZA
 kI - gahane	 kA - gahanA
 suKAyA	 suKA
 PUtane	 PUta
 samBAle	 samBAla
 Gisakara	 Gisa
 saPZexa	 saPZexa
 PatakawA	 Pataka
 xegI - vaha	 xe - vaha
 tikawI	 tika
 hE - kama - se - kama	 hE - kama - se - kama
 WA - DazkA	 WA - DazkA
 BAe	 BA
 jAnogI	 jAna
 cAhanevAlA	 cAha
 camacamAwI	 camacamA
 bigAdZawA	 bigAdZa
 kosiegA	 kosa
 gadZAe	 gadZA
 JapakawI	 Japaka
 BunaBunAne	 BunaBunA
 XakelA	 XakelA
 PUteM	 PUta
 paDZavAwe	 paDZavA
 sazvalA	 sazvalA
 sAXe	 sAXa
 bETe - lete	 bETa - letA
 aXanaMge	 aXanaMgA
 EMTe	 EMTa
 sunAoge	 sunA
 wapa - sA	 wapa - sA
 xebe	 xebe
 sulaJAyA	 sulaJA
 hogA - ho	 ho - ho
 Xulane	 Xula
 ubarA	 ubarA
